gmeId,gmeDate,gmeTime,gmeTimeOfDay,gmeScore,gmeAt,trnName
GME0001,2023-02-09,21:30:00,Night, 7-3,Neutral,Puerto Vallarta College Challenge
GME0002,2023-02-10,16:00:00,Afternoon, 10-2,Neutral,Puerto Vallarta College Challenge
GME0003,2023-02-11,11:00:00,Morning, 1-2,Neutral,Puerto Vallarta College Challenge
GME0004,2023-02-12,12:00:00,Afternoon, 11-6,Neutral,Puerto Vallarta College Challenge
GME0005,2023-02-12,14:30:00,Afternoon, 4-2,Neutral,Puerto Vallarta College Challenge
GME0006,2023-02-17,15:00:00,Afternoon, 2-1,Neutral,ACC/Big Ten Challenge
GME0007,2023-02-18,12:30:00,Afternoon, 6-4,Neutral,ACC/Big Ten Challenge
GME0008,2023-02-18,17:30:00,Evening, 5-3,Away,ACC/Big Ten Challenge
GME0009,2023-02-19,12:30:00,Afternoon, 4-3,Away,ACC/Big Ten Challenge
GME0010,2023-02-24,12:00:00,Afternoon, 10-0,Neutral,Baylor Tournament
GME0011,2023-02-24,14:30:00,Afternoon, 0-5,Away,Baylor Tournament
GME0012,2023-02-25,11:00:00,Morning, 1-4,Neutral,Baylor Tournament
GME0013,2023-02-25,18:30:00,Evening, 1-5,Neutral,Baylor Tournament
GME0014,2023-02-26,10:00:00,Morning, 3-1,Neutral,Baylor Tournament
GME0015,2023-03-03,12:30:00,Afternoon, 4-0,Neutral,East Carolina Tournament
GME0016,2023-03-03,17:30:00,Evening, 5-0,Away,East Carolina Tournament
GME0017,2023-03-04,10:00:00,Morning, 11-0,Neutral,East Carolina Tournament
GME0018,2023-03-04,17:30:00,Evening, 6-0,Neutral,East Carolina Tournament
GME0019,2023-03-05,12:30:00,Afternoon, 12-2,Away,East Carolina Tournament
GME0020,2023-03-10,11:00:00,Morning, 4-3,Neutral,Liberty Tournament
GME0021,2023-03-10,13:00:00,Afternoon, 11-0,Neutral,Liberty Tournament
GME0022,2023-03-11,10:00:00,Morning, 10-2,Neutral,Liberty Tournament
GME0023,2023-03-11,12:00:00,Afternoon, 4-1,Neutral,Liberty Tournament
GME0024,2023-03-17,16:30:00,Afternoon, 9-4,Home,Capital City Classic
GME0025,2023-03-17,19:00:00,Evening, 1-6,Home,Capital City Classic
GME0026,2023-03-18,14:00:00,Afternoon, 3-0,Home,Capital City Classic
GME0027,2023-03-18,19:00:00,Evening, 7-3,Home,Capital City Classic
GME0028,2023-03-25,12:00:00,Afternoon, 1-2,Away,
GME0029,2023-03-26,10:00:00,Morning, 7-15,Away,
GME0030,2023-03-26,12:30:00,Afternoon, 4-11,Away,
GME0031,2023-03-29,18:00:00,Evening, 10-0,Home,
GME0032,2023-03-31,15:30:00,Afternoon, 3-0,Home,DH
GME0033,2023-03-31,18:00:00,Evening, 11-0,Home,DH
GME0034,2023-04-02,12:00:00,Afternoon, 8-0,Home,
GME0035,2023-04-05,13:00:00,Afternoon, 3-4,Away,
GME0036,2023-04-05,15:00:00,Afternoon, 2-5,Away,
GME0037,2023-04-07,18:00:00,Evening, 0-3,Home,
GME0038,2023-04-08,14:00:00,Afternoon, 2-0,Home,
GME0039,2023-04-09,12:00:00,Afternoon, 0-4,Home,
GME0040,2023-04-14,16:00:00,Afternoon, 5-2,Away,
GME0041,2023-04-14,18:30:00,Evening, 2-0,Away,
GME0042,2023-04-15,14:00:00,Afternoon, 1-2,Away,
GME0043,2023-04-19,18:00:00,Evening, 9-0,Home,
GME0044,2023-04-21,18:00:00,Evening, 2-3,Home,
GME0045,2023-04-22,11:30:00,Morning, 2-1,Home,
GME0046,2023-04-23,12:00:00,Afternoon, 1-2,Home,
GME0047,2023-04-29,14:00:00,Afternoon, 0-1,Home,
GME0048,2023-04-29,16:30:00,Afternoon, 3-2,Home,
GME0049,2023-05-02,18:00:00,Evening, 11-1,Home,
GME0050,2023-05-05,17:30:00,Evening, 6-2,Away,
GME0051,2023-05-06,14:00:00,Afternoon, 8-1,Away,
GME0052,2023-05-07,12:00:00,Afternoon, 6-1,Away,
GME0053,2023-05-10,17:30:00,Evening, 1-7,Neutral,Big Ten Tournament
