gmeId,oppId,locId
GME0001,OPP0001,LOC0001
GME0002,OPP0002,LOC0001
GME0003,OPP0003,LOC0001
GME0004,OPP0004,LOC0001
GME0005,OPP0005,LOC0001
GME0006,OPP0006,LOC0002
GME0007,OPP0006,LOC0002
GME0008,OPP0007,LOC0002
GME0009,OPP0007,LOC0002
GME0010,OPP0008,LOC0003
GME0011,OPP0009,LOC0003
GME0012,OPP0010,LOC0003
GME0013,OPP0010,LOC0003
GME0014,OPP0008,LOC0003
GME0015,OPP0011,LOC0004
GME0016,OPP0012,LOC0004
GME0017,OPP0013,LOC0004
GME0018,OPP0011,LOC0004
GME0019,OPP0012,LOC0004
GME0020,OPP0014,LOC0005
GME0021,OPP0014,LOC0005
GME0022,OPP0015,LOC0005
GME0023,OPP0016,LOC0005
GME0024,OPP0017,LOC0006
GME0025,OPP0018,LOC0006
GME0026,OPP0019,LOC0006
GME0027,OPP0018,LOC0006
GME0028,OPP0020,LOC0007
GME0029,OPP0020,LOC0007
GME0030,OPP0020,LOC0007
GME0031,OPP0021,LOC0006
GME0032,OPP0022,LOC0006
GME0033,OPP0022,LOC0006
GME0034,OPP0022,LOC0006
GME0035,OPP0023,LOC0008
GME0036,OPP0023,LOC0008
GME0037,OPP0024,LOC0006
GME0038,OPP0024,LOC0006
GME0039,OPP0024,LOC0006
GME0040,OPP0025,LOC0009
GME0041,OPP0025,LOC0009
GME0042,OPP0025,LOC0009
GME0043,OPP0026,LOC0006
GME0044,OPP0027,LOC0006
GME0045,OPP0027,LOC0006
GME0046,OPP0027,LOC0006
GME0047,OPP0028,LOC0006
GME0048,OPP0028,LOC0006
GME0049,OPP0029,LOC0006
GME0050,OPP0030,LOC0010
GME0051,OPP0030,LOC0010
GME0052,OPP0030,LOC0010
GME0053,OPP0031,LOC0010
GME0054,OPP0032,LOC0011
GME0055,OPP0002,LOC0011
GME0056,OPP0033,LOC0011
GME0057,OPP0025,LOC0011
GME0058,OPP0034,LOC0012
GME0059,OPP0035,LOC0012
GME0060,OPP0036,LOC0012
GME0061,OPP0036,LOC0012
GME0062,OPP0037,LOC0013
GME0063,OPP0038,LOC0013
GME0064,OPP0039,LOC0013
GME0065,OPP0040,LOC0013
GME0066,OPP0041,LOC0013
GME0067,OPP0042,LOC0014
GME0068,OPP0013,LOC0014
GME0069,OPP0043,LOC0014
GME0070,OPP0044,LOC0014
GME0071,OPP0045,LOC0014
GME0072,OPP0046,LOC0015
GME0073,OPP0047,LOC0015
GME0074,OPP0048,LOC0015
GME0075,OPP0046,LOC0015
GME0076,OPP0006,LOC0016
GME0077,OPP0049,LOC0017
GME0078,OPP0050,LOC0017
GME0079,OPP0026,LOC0006
GME0080,OPP0005,LOC0006
GME0081,OPP0013,LOC0006
GME0082,OPP0051,LOC0006
GME0083,OPP0052,LOC0006
GME0084,OPP0053,LOC0018
GME0085,OPP0027,LOC0019
GME0086,OPP0027,LOC0019
GME0087,OPP0027,LOC0019
GME0088,OPP0025,LOC0018
GME0089,OPP0025,LOC0018
GME0090,OPP0025,LOC0018
GME0091,OPP0054,LOC0018
GME0092,OPP0055,LOC0020
GME0093,OPP0055,LOC0020
GME0094,OPP0055,LOC0020
GME0095,OPP0056,LOC0018
