locId,locName
LOC0001,"Puerto Vallarta, Mexico"
LOC0002,"Chapel Hill, NC"
LOC0003,"Waco, TX"
LOC0004,"Greenville, NC"
LOC0005,"Lynchburg, VA"
LOC0006,"College Park, MD | Maryland Softball Stadium"
LOC0007,"Bloomington, IN"
LOC0008,"Piscataway, NJ"
LOC0009,"Iowa City, IA"
LOC0010,"Urbana-Champaign, IL"
LOC0011,"Fort Collins, CO | Triple Crown Sports"
LOC0012,"Miami, FL"
LOC0013,"Orlando, FL"
LOC0014,"Myrtle Beach, SC"
LOC0015,"Charlotte, NC"
LOC0016,"Charlottesville, VA"
LOC0017,"Harrisonburg, VA"
LOC0018,"College Park, MD"
LOC0019,"State College, PA"
LOC0020,"West Lafayette, IN"
LOC0021,"Minneapolis, MN"
LOC0022,"East Lansing, MI"
LOC0023,"Leesburg, Fla."
LOC0024,"Columbus, OH"
LOC0025,"Ann Arbor, MI"
LOC0026,"Lincoln, NE"
LOC0027,"Austin, Texas"
LOC0028,"Clemson, S.C."
LOC0029,"Statesboro, Ga."
LOC0030,"Tempe, Ariz."
LOC0031,"Miami, Fla."
LOC0032,"Troy, AL"
LOC0033,"Houston, TX"
LOC0034,"Riverside, CA"
LOC0035,"Chapel Hill, N.C."
LOC0036,"DeLand, FL"
LOC0037,"Los Angeles, Calif."
LOC0038,"Auburn, Ala."
LOC0039,"Gainesville, Fla."
LOC0040,"Louisville, Ky."
LOC0041,"College Park, Md."
LOC0042,"Honolulu, Hawaii"
LOC0043,"State College, Pa."
LOC0044,"Champaign, Ill."
LOC0045,"Columbus, Ohio"
LOC0046,"Madison, Wis."
LOC0047,"Lafayette, La."
LOC0048,"Columbia, Mo."
LOC0049,"Riverside, Calif."
LOC0050,"East Lansing, Mich."
LOC0051,"Evanston, Ill."
LOC0052,"Bloomington, Ind."
LOC0053,"New Brunswick, N.J."
LOC0054,"Tempe, Az."
LOC0055,"Atlanta, GA"
LOC0056,"Boca Raton, Fla."
LOC0057,Nats' Youth Academy (Washington DC)
LOC0058,GW Softball Field (Washington DC)
LOC0059,"Norman, Okla."
LOC0060,Maryland Softball Stadium
LOC0061,"Columbus, Oh."
LOC0062,"University Park, Pa."
LOC0063,"Minneapolis, Min."
LOC0064,"Myrtle Beach, S.C."
LOC0065,"Palm Springs, Calif."
LOC0066,"Orlando, Fla."
LOC0067,"Harrisonburg, Va."
LOC0068,"Iowa City, Iowa"
LOC0069,"Piscataway, N.J."
LOC0070,"Kissimmee, Fla."
LOC0071,"Tallahassee, Fla."
LOC0072,"Chestnut Hill, Mass."
LOC0073,"South Bend, In."
LOC0074,"Clearwater, Fla."
LOC0075,"Raleigh, N.C."
LOC0076,"Fairfax, Va."
LOC0077,"Blacksburg, Va."
LOC0078,"Tuscaloosa, Ala."
LOC0079,"Ft. Myers, Fla."
LOC0080,"Seattle, Wash."
LOC0081,"Athens, Ga."
LOC0082,"Tampa, Fla."
LOC0083,"Charlottesville, Va."
LOC0084,"Columbus, Ga."
LOC0085,"Baltimore, MD"
LOC0086,"Deland, Fla."
LOC0087,"University Park, Penn."
LOC0088,"Boston, Mass."
LOC0089,"Washington, D.C."
LOC0090,"Colelge Park, Md."
LOC0091,"Statesboro, GA"
LOC0092,"Palm Springs, CA"
LOC0093,"Tallahassee, FL"
LOC0094,"Virginia Beach, VA"
LOC0095,"Boston, MA"
LOC0096,"Newark, DE"
LOC0097,"Villanova, Pa."
LOC0098,"Towson, Md."
LOC0099,"Newark, Del."
LOC0100,"Plant City, Fla."
LOC0101,"Marietta, Ga."
LOC0102,Philadelphia
LOC0103,"Brooklyn, N.Y."
LOC0104,"Greenville, N.C."
LOC0105,"Princeton, N.J."
LOC0106,South Florida
LOC0107,Arizona State
LOC0108,"Phoenix, AZ"
LOC0109,North Carolina
LOC0110,Florida State
LOC0111,Georgia Tech
LOC0112,UMBC
LOC0113,Virginia
LOC0114,"Tucson, Ariz."
LOC0115,"Greenville, S.C."
LOC0116,"Towson, MD"
LOC0117,"Brooklyn, NY"
LOC0118,"Rock Hill, S.C."
LOC0119,"Fairfax, VA"
LOC0120,"Princeton, NJ"
LOC0121,"Philadelphia, PA"
LOC0122,"College Park, Md. | Maryland Softball Stadium"
LOC0123,"Tampa, FL"
LOC0124,"Macon, GA"
LOC0125,"Fairfield, Conn."
LOC0126,"Wilmington, N.C."
LOC0127,"Rock Hill, SC"
LOC0128,"Loretto, PA"
LOC0129,"Emmitsburg, MD"
LOC0130,"Arnold, MD"
LOC0131,"Ewing, NJ"
LOC0132,"Princess Anne, MD"
